,maid,datetimestamp,latitude,longitude,homegeohash9,workgeohash,Home_Distance,Work_Distance
580,0171934b-f55c-49a8-a2ae-8cd227c4bb6d,12/16/2023 11:01,-37.82446465,145.049334,r1r07sksk,r1r07sk,9.095709356,9.204155771
581,0171934b-f55c-49a8-a2ae-8cd227c4bb6d,12/6/2023 3:43,-37.8244962,145.0493819,r1r07sksk,r1r07sk,9.095709356,9.204155771
582,0171934b-f55c-49a8-a2ae-8cd227c4bb6d,12/25/2023 9:20,-37.82452602,145.0493012,r1r07sksk,r1r07sk,9.095709356,9.204155771
583,0171934b-f55c-49a8-a2ae-8cd227c4bb6d,12/2/2023 19:27,-37.70947872,144.9416141,r1r07sksk,r1r07sk,9.095709356,9.204155771
640,019d93a9-d96c-459c-8a9a-1dd2ddc79369,12/9/2023 16:24,-38.36657368,144.8917043,r1r0mpgpg,r1r0mpg,5.798098413,5.741774315
641,019d93a9-d96c-459c-8a9a-1dd2ddc79369,12/31/2023 1:24,-37.88204776,145.0682274,r1r0mpgpg,r1r0mpg,5.798098413,5.741774315
642,019d93a9-d96c-459c-8a9a-1dd2ddc79369,12/3/2023 17:22,-37.88203407,145.0682636,r1r0mpgpg,r1r0mpg,5.798098413,5.741774315
643,019d93a9-d96c-459c-8a9a-1dd2ddc79369,12/3/2023 19:06,-37.8997273,145.1144375,r1r0mpgpg,r1r0mpg,5.798098413,5.741774315
660,01a75308-74b8-4263-acfa-4bd7558c29e2,12/13/2023 12:10,-33.72382326,150.9773132,r1r15d9d9,r1r15d9,7.475614751,7.357682261
661,01a75308-74b8-4263-acfa-4bd7558c29e2,12/30/2023 7:25,-33.72374315,150.9773174,r1r15d9d9,r1r15d9,7.475614751,7.357682261
662,01a75308-74b8-4263-acfa-4bd7558c29e2,12/18/2023 21:16,-33.72112665,150.97671,r1r15d9d9,r1r15d9,7.475614751,7.357682261
663,01a75308-74b8-4263-acfa-4bd7558c29e2,12/6/2023 22:53,-37.82449379,145.0493914,r1r15d9d9,r1r15d9,7.475614751,7.357682261
688,01bb61ba-a72d-4502-905e-3ea7fbbec539,12/23/2023 15:38,-37.82454263,145.0494068,r1r1hvpvp,r1r1hvp,7.272380169,7.759158977
689,01bb61ba-a72d-4502-905e-3ea7fbbec539,12/12/2023 1:41,-37.82468446,145.0493113,r1r1hvpvp,r1r1hvp,7.272380169,7.759158977
690,01bb61ba-a72d-4502-905e-3ea7fbbec539,12/12/2023 17:01,-37.83043097,145.0560418,r1r1hvpvp,r1r1hvp,7.272380169,7.759158977
691,01bb61ba-a72d-4502-905e-3ea7fbbec539,12/21/2023 4:47,-37.83030181,145.0559967,r1r1hvpvp,r1r1hvp,7.272380169,7.759158977
732,01d1e55b-cf62-4aca-8c16-9771ffad5f25,12/8/2023 3:15,-37.83041082,145.0561011,r1r0ygugu,r1r0ygu,8.212488851,8.385700039
733,01d1e55b-cf62-4aca-8c16-9771ffad5f25,12/23/2023 3:24,-37.81607,145.1466,r1r0ygugu,r1r0ygu,8.212488851,8.385700039
734,01d1e55b-cf62-4aca-8c16-9771ffad5f25,12/28/2023 12:20,-37.815862,145.1466417,r1r0ygugu,r1r0ygu,8.212488851,8.385700039
735,01d1e55b-cf62-4aca-8c16-9771ffad5f25,12/7/2023 8:35,-37.76927024,145.0527478,r1r0ygugu,r1r0ygu,8.212488851,8.385700039
816,020bc715-32dc-43bd-84f7-1a5898f84ac0,12/21/2023 8:33,-37.83963,145.06446,r1r0tp2p2,r1r0tp2,1.335117485,1.218889889
817,020bc715-32dc-43bd-84f7-1a5898f84ac0,12/27/2023 0:31,-37.84049,145.06403,r1r0tp2p2,r1r0tp2,1.335117485,1.218889889
818,020bc715-32dc-43bd-84f7-1a5898f84ac0,12/10/2023 15:31,-37.8405,145.0639,r1r0tp2p2,r1r0tp2,1.335117485,1.218889889
819,020bc715-32dc-43bd-84f7-1a5898f84ac0,12/24/2023 9:56,-37.84057,145.06417,r1r0tp2p2,r1r0tp2,1.335117485,1.218889889
828,021c63b7-2bfc-4c5d-b247-f052e451bccf,12/24/2023 6:23,-37.74643265,145.0605622,r1r1kbmbm,r1pr8kf,9.138856274,26.08079514
829,021c63b7-2bfc-4c5d-b247-f052e451bccf,12/18/2023 6:41,-37.80206082,144.8683643,r1r1kbmbm,r1pr8kf,9.138856274,26.08079514
830,021c63b7-2bfc-4c5d-b247-f052e451bccf,12/21/2023 0:31,-37.82455226,145.049433,r1r1kbmbm,r1pr8kf,9.138856274,26.08079514
831,021c63b7-2bfc-4c5d-b247-f052e451bccf,12/19/2023 19:40,-37.82458365,145.0493399,r1r1kbmbm,r1pr8kf,9.138856274,26.08079514
919,0260fa70-1eea-4771-b60d-4fe060f962e3,12/9/2023 5:30,-37.82450335,145.0494506,r1r0yd7d7,r1r0yd7,6.973617048,6.647428639
920,0260fa70-1eea-4771-b60d-4fe060f962e3,12/12/2023 18:36,-37.82450942,145.0493552,r1r0yd7d7,r1r0yd7,6.973617048,6.647428639
921,0260fa70-1eea-4771-b60d-4fe060f962e3,12/26/2023 12:25,-37.83586628,145.1329136,r1r0yd7d7,r1r0yd7,6.973617048,6.647428639
922,0260fa70-1eea-4771-b60d-4fe060f962e3,12/20/2023 23:57,-37.85035846,145.1514566,r1r0yd7d7,r1r0yd7,6.973617048,6.647428639
999,02985bf8-71cf-4c4b-b6c3-555935b9c0ff,12/22/2023 10:53,-37.78985,145.13154,r1r1n8989,r1r1n89,8.010271364,7.906706148
1000,02985bf8-71cf-4c4b-b6c3-555935b9c0ff,12/28/2023 7:35,-37.7814514,145.1368719,r1r1n8989,r1r1n89,8.010271364,7.906706148
1001,02985bf8-71cf-4c4b-b6c3-555935b9c0ff,12/17/2023 23:14,-37.54833,149.73383,r1r1n8989,r1r1n89,8.010271364,7.906706148
1002,02985bf8-71cf-4c4b-b6c3-555935b9c0ff,12/2/2023 5:31,-37.78159,145.13681,r1r1n8989,r1r1n89,8.010271364,7.906706148
1195,02ff7275-1708-4975-87bf-611c0fb59b73,12/4/2023 17:25,-31.95005658,115.7596146,r1r0tj9j9,qd664pt,2.379761816,2738.566946
1196,02ff7275-1708-4975-87bf-611c0fb59b73,12/26/2023 7:06,-31.88225302,115.7837487,r1r0tj9j9,qd664pt,2.379761816,2738.566946
1197,02ff7275-1708-4975-87bf-611c0fb59b73,12/3/2023 0:53,-37.74716827,145.3459076,r1r0tj9j9,qd664pt,2.379761816,2738.566946
1198,02ff7275-1708-4975-87bf-611c0fb59b73,12/23/2023 9:28,-37.74727015,145.3461023,r1r0tj9j9,qd664pt,2.379761816,2738.566946
1199,03044322-bb2c-4f2f-8f79-a25a9d9af4ff,12/24/2023 12:47,-27.47104148,153.0304841,r1r0fyyyy,r7hv43x,7.922518929,1393.922939
1200,03044322-bb2c-4f2f-8f79-a25a9d9af4ff,12/29/2023 2:46,-27.47497418,153.0255382,r1r0fyyyy,r7hv43x,7.922518929,1393.922939
1201,03044322-bb2c-4f2f-8f79-a25a9d9af4ff,12/16/2023 14:42,-27.47494137,153.0256147,r1r0fyyyy,r7hv43x,7.922518929,1393.922939
